sample,tag,group,category,EB,FB,PB
site_t1_10,F125,exp2,sample,E2 25,F2911,e1e2_P2
site_t1_11,F126,exp2,sample,E2 25,F3 911,e1e2_P2
site_t1_12,F241,exp2,sample,E2 25,F3 911,e1e2_R2
site_t1_13,F128,exp2,sample,E2 25,F3 911,e1e2_R3
site_t1_6,F129,exp2,sample,E2 25,F2911,e1e2_P2
site_t1_7,F130,exp2,sample,E2 25,F2911,e1e2_P2
site_t1_8,F131,exp2,sample,E2 25,F2911,e1e2_P2
site_t1_9,F132,exp2,sample,E2 25,F2911,e1e2_P2
site_t1_10,F133,exp2,sample,E2 25,F2911,e1e2_P2
site_t1_11,F134,exp2,sample,E2 25,F3 911,e1e2_P2
site_t1_12,F135,exp2,sample,E2 25,F3 911,e1e2_P2
site_t1_13,F248,exp2,sample,E2 25,F3 911,e1e2_R4
site_t1_6,F137,exp2,sample,E2 25,F2911,e1e2_P2
site_t1_7,F138,exp2,sample,E2 25,F2911,e1e2_P2
site_t1_8,F139,exp2,sample,E2 25,F2911,e1e2_P2
site_t1_9,F140,exp2,sample,E2 25,F2911,e1e2_P2
site_t1_10,F141,exp2,sample,E2 25,F2911,e1e2_P2
site_t1_11,F142,exp2,sample,E2 25,F3 911,e1e2_P2
site_t1_12,F242,exp2,sample,E2 25,F3 911,e1e2_R2
site_t1_13,F144,exp2,sample,E2 25,F3 911,e1e2_P2
site_t1_14,F145,exp2,sample,E2 25,F3 911,e1e2_P2
site_t1_15-1,F146,exp2,sample,E2 25,F3 911,e1e2_P2
site_t1_15-2,F147,exp2,sample,E2 25,F3 911,e1e2_P2
site_t1_16,F148,exp2,sample,E2 25,F3 911,e1e2_P2
site_t1_17,F149,exp2,sample,E2 25,F3 911,e1e2_P2
site_t1_18,F150,exp2,sample,E2 25,F3 911,e1e2_P2
site_t1_19,F151,exp2,sample,E2 25,F3 911,e1e2_P2
site_t1_20,F152,exp2,sample,E2 25,F3 911,e1e2_P2
site_t1_14,F153,exp2,sample,E2 25,F3 911,e1e2_P2
site_t1_15-1,F154,exp2,sample,E2 25,F3 911,e1e2_P2
site_t1_15-2,F155,exp2,sample,E2 25,F3 911,e1e2_P2
site_t1_16,F156,exp2,sample,E2 25,F3 911,e1e2_P2
site_t1_17,F157,exp2,sample,E2 25,F3 911,e1e2_P2
site_t1_18,F158,exp2,sample,E2 25,F3 911,e1e2_P2
site_t1_19,F159,exp2,sample,E2 25,F3 911,e1e2_P2
site_t1_20,F160,exp2,sample,E2 25,F3 911,e1e2_P2
site_t1_14,F161,exp2,sample,E2 25,F3 911,e1e2_P2
site_t1_15-1,F162,exp2,sample,E2 25,F3 911,e1e2_P2
site_t1_15-2,F247,exp2,sample,E2 25,F3 911,e1e2_R4
site_t1_16,F164,exp2,sample,E2 25,F3 911,e1e2_P2
site_t1_17,F165,exp2,sample,E2 25,F3 911,e1e2_P2
site_t1_18,F166,exp2,sample,E2 25,F3 911,e1e2_P2
site_t1_19,F167,exp2,sample,E2 25,F3 911,e1e2_P2
site_t1_20,F168,exp2,sample,E2 25,F3 911,e1e2_P2
site_t1_21,F169,exp2,sample,E2 25,F3 911,e1e2_R2
site_t1_22,F170,exp2,sample,E2 25,F3 911,e1e2_P2
site_t1_23,F171,exp2,sample,E2 25,F3 911,e1e2_P2
site_t1_24,F172,exp2,sample,E2 25,F3 911,e1e2_P2
F1 911,F173,exp2,FB,E2 25,NA,e1e2_P2
F2911,F174,exp2,FB,E2 25,NA,e1e2_P2
F3 911,F175,exp2,FB,E2 25,NA,e1e2_P2
E2 25,F176,exp2,EB,E2 25,NA,e1e2_P2
site_t1_21,F177,exp2,sample,E2 25,F3 911,e1e2_P2
site_t1_22,F178,exp2,sample,E2 25,F3 911,e1e2_P2
site_t1_23,F179,exp2,sample,E2 25,F3 911,e1e2_P2
site_t1_24,F180,exp2,sample,E2 25,F3 911,e1e2_P2
F1 911,F181,exp2,FB,E2 25,NA,e1e2_P2
F2911,F182,exp2,FB,E2 25,NA,e1e2_R2
F3 911,F183,exp2,FB,E2 25,NA,e1e2_P2
E2 25,F184,exp2,EB,E2 25,NA,e1e2_P2
site_t1_21,F185,exp2,sample,E2 25,F3 911,e1e2_P2
site_t1_22,F186,exp2,sample,E2 25,F3 911,e1e2_R2
site_t1_23,F187,exp2,sample,E2 25,F3 911,e1e2_P2
site_t1_24,F188,exp2,sample,E2 25,F3 911,e1e2_P2
F1 911,F189,exp2,FB,E2 25,NA,e1e2_P2
F2911,F190,exp2,FB,E2 25,NA,e1e2_P2
F3 911,F191,exp2,FB,E2 25,NA,e1e2_P2
E2 25,F192,exp2,EB,E2 25,NA,e1e2_P2
e1e2_P2,F193,exp2,PB,NA,NA,e1e2_P2
e1e2_P2,F201,exp2,PB,NA,NA,e1e2_P2
e1e2_P2,F209,exp2,PB,NA,NA,e1e2_P2
e1e2_R2,F252,exp2,PB,NA,NA,e1e2_R2
e1e2_R2,F253,exp2,PB,NA,NA,e1e2_R2
e1e2_R2,F254,exp2,PB,NA,NA,e1e2_R2
